FijiId;FirstPoint;LastPoint;Direction;Type;Class;UTurnAllowed;ZLvlFrom;ZLvlTo;CargoFrame;Exceptions;PartnerIds;BranchSysCode;CountrySysCode;RegionSysCode;DistrictSysCode;CitySysCode;CargoPassZoneSysCode;IsBlockedCar;IsBlockedCarAnyDirection;IsBlockedBicycle;IsBlockedBicycleAnyDirection;IsBlockedPedestrian;IsBlockedPedestrianAnyDirection;IsBlockedCargo;IsBlockedCargoAnyDirection;IsBlockedCargoOnlyAnyDirection;IsBlockedCargoOnly;IsBlockedCargoDoesNotBreakCargoCarcass;CargoMaximumPermissibleMass;IsSidewalk
145162861;4566181.02_2246215.53;4566260.08_2246231.85;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162861;4566260.08_2246231.85;4566181.02_2246215.53;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162860;4568397_2245315.94;4568431.19_2245285.38;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162860;4568431.19_2245285.38;4568397_2245315.94;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162859;4566459.89_2246477.92;4566467.56_2246456.66;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162859;4566467.56_2246456.66;4566459.89_2246477.92;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162858;4568431.19_2245285.38;4568485.1_2245237.19;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162858;4568485.1_2245237.19;4568431.19_2245285.38;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162856;4566584.99_2246616.45;4566521.62_2246618.3;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162856;4566521.62_2246618.3;4566584.99_2246616.45;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162855;4566616.09_2246617.7;4566584.99_2246616.45;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162855;4566584.99_2246616.45;4566616.09_2246617.7;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162854;4567794.05_2244757.48;4567735.23_2244809.88;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
